codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
SINT0508,Azucar,12.0,5.0,2.4,14.4,0.1429,0,0,4,2,0,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
0488PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0206AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Abarrotes,False
0051ME,Menestras,12.0,8.0,6.0,14.0,0.3,0,1,1,3,0,real,Pallar 500 gr,500 gr,kg,Menestras,True
SINT0922,Snacks,18.0,6.0,4.68,19.32,0.195,0,0,2,6,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0487PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0214,Aves,4.0,0.0,0.18,3.57,0.0481,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0940,Infusion,11.0,9.0,4.07,15.93,0.2035,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0980,Limpieza,20.0,7.0,1.7,25.3,0.063,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0524CE,Cerdo,7.0,5.0,0.0,12.0,0.0,0,1,0,2,0,real,Cerdo saborizado,,kg,Cárnicos y pescados,True
SINT0437,Aceite,2.0,10.0,5.83,6.17,0.4858,0,1,5,4,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0495,Limpieza,9.0,8.0,4.72,12.28,0.2776,0,1,2,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0442FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Guindones,,kg,Snacks y dulces,True
0499AV,Aves,1.0,3.8,0.0,4.8,0.0,0,0,0,1,1,real,Pollo trozado,,kg,Avícolas,True
0469SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0215IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Café Instantaneo Variado sachet,,unidad,Bebidas e infusiones,True
0072ME,Menestras,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real,Quinua Roja 500 gr,500 gr,kg,Menestras,True
0335GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Gelatina 10 kg,10 kg,unidad,Snacks y dulces,True
0573LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Detergente líquido 4 L,4 lt,unidad,Limpieza e higiene,True
0443FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Habas,,kg,Snacks y dulces,True
0684COR,Cordero,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0119,Vacuno,0.0,7.0,12.22,-5.22,1.7457,0,1,4,4,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0595LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lejía líquida color 4 lt,4 lt,unidad,Limpieza e higiene,True
SINT0260,Harina,0.0,5.0,8.49,-3.49,1.698,0,0,3,0,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0043,"Mermelada, mantequilla",0.0,0.0,0.02,-0.02,0.0,0,0,6,1,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0301,Vacuno,0.0,7.0,11.68,-4.68,1.6686,0,0,3,3,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0667,Fideos,13.0,7.0,4.88,15.12,0.244,0,0,2,5,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0458SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Gaseoa 1 1/2,,paquete,Snacks y dulces,True
SINT0160,"Condimentos, Salsas, cremas",0.0,3.0,5.68,-2.68,1.8933,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0377,Limpieza,0.0,0.0,0.57,-0.57,0.0,0,1,7,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0174,Harina,8.0,7.0,17.01,-2.01,1.134,1,0,3,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
