codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
SINT0508,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0488PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
0206AZ,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,real,False
0051ME,Pallar 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0922,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0487PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
SINT0214,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0940,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0980,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0524CE,Cerdo saborizado,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0437,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0495,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0442FS,Guindones,,kg,Frutos secos,Snacks y dulces,real,True
0499AV,Pollo trozado,,kg,Aves,Avícolas,real,True
0469SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0215IN,Café Instantaneo Variado sachet,,unidad,Instantaneo,Bebidas e infusiones,real,True
0072ME,Quinua Roja 500 gr,500 gr,kg,Menestras,Menestras,real,True
0335GE,Gelatina 10 kg,10 kg,unidad,"Gelatina, postres",Snacks y dulces,real,True
0573LI,Detergente líquido 4 L,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
0443FS,Habas,,kg,Frutos secos,Snacks y dulces,real,True
0684COR,Registro técnico (sin descripción),,kg,Cordero,Cárnicos y pescados,real,False
SINT0119,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0595LI,Lejía líquida color 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0260,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0043,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0301,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0667,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0458SN,Gaseoa 1 1/2,,paquete,Snacks,Snacks y dulces,real,True
SINT0160,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0377,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0174,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
