id_ml_costo,id_semana,semana_inicio,anio,mes,semana_iso,id_producto,id_categoria,familias_activas,pacientes_activos,pacientes_alta_criticidad,nuevos_casos,reingresos,ocupacion_albergue,campania_donacion_activa,indice_donaciones_entrantes,temporada_invierno,temporada_navidad,stock_inicio_semana,ingresos_semana,cantidad_necesaria,cantidad_entregada,demanda_no_cubierta,stock_fin_semana,precio_unitario_estimado,rolling_cantidad_4sem,rolling_costo_4sem,rolling_no_cubierta_4sem,rolling_precio_4sem,target_cantidad_siguiente_semana,target_costo_siguiente_semana
1,1,2023-07-03,2023,7,27,1,1,51,58,9,5,5,0.476,1,0.919,1,0,28,6,9,9,0,25,18.61,9.0,167.49,0.0,18.61,10.0,183.5
2,2,2023-07-10,2023,7,28,1,1,56,63,11,1,8,0.574,0,0.661,1,0,25,0,10,10,0,15,18.35,9.0,167.49,0.0,18.61,11.0,198.33
3,3,2023-07-17,2023,7,29,1,1,53,69,11,2,7,0.527,0,0.759,1,0,15,0,11,11,0,4,18.03,9.5,175.495,0.0,18.48,13.0,252.46
4,4,2023-07-24,2023,7,30,1,1,54,65,14,5,7,0.532,0,0.615,1,0,4,0,13,4,9,0,19.42,10.0,183.10666666666668,0.0,18.330000000000002,12.0,225.24
5,5,2023-07-31,2023,7,31,1,1,50,57,12,3,6,0.547,1,0.989,1,0,0,16,12,12,0,4,18.77,10.75,200.445,2.25,18.6025,12.0,225.96
6,6,2023-08-07,2023,8,32,1,1,49,57,12,4,6,0.516,0,0.487,1,0,4,0,12,4,8,0,18.83,11.5,214.8825,2.25,18.642500000000002,13.0,239.98
7,7,2023-08-14,2023,8,33,1,1,54,62,13,4,8,0.528,0,0.565,1,0,0,14,13,13,0,1,18.46,12.0,225.4975,4.25,18.7625,10.0,196.7
8,8,2023-08-21,2023,8,34,1,1,48,62,14,1,2,0.434,0,0.826,1,0,1,14,10,10,0,5,19.67,12.5,235.91,4.25,18.87,9.0,173.79
9,9,2023-08-28,2023,8,35,1,1,45,48,7,4,2,0.403,0,0.499,1,0,5,9,9,9,0,5,19.31,11.75,221.97000000000003,2.0,18.9325,13.0,245.31
10,10,2023-09-04,2023,9,36,1,1,58,65,10,4,5,0.519,1,0.643,1,0,5,0,13,5,8,0,18.87,11.0,209.10750000000002,2.0,19.067500000000003,11.0,208.34
11,11,2023-09-11,2023,9,37,1,1,54,58,11,3,5,0.532,0,0.757,1,0,0,12,11,11,0,1,18.94,11.25,213.945,2.0,19.0775,14.0,261.38
12,12,2023-09-18,2023,9,38,1,1,60,75,13,2,6,0.626,0,0.6,1,0,1,22,14,14,0,9,18.67,10.75,206.035,2.0,19.197499999999998,12.0,227.04
13,13,2023-09-25,2023,9,39,1,1,56,63,8,1,11,0.547,0,0.532,1,0,9,0,12,9,3,0,18.92,11.75,222.205,2.0,18.947499999999998,10.0,184.9
14,14,2023-10-02,2023,10,40,1,1,53,61,13,2,10,0.523,0,0.622,0,0,0,16,10,10,0,6,18.49,12.5,235.51749999999998,2.75,18.85,15.0,282.45
15,15,2023-10-09,2023,10,41,1,1,58,68,9,5,10,0.583,0,0.557,0,0,6,12,15,15,0,3,18.83,11.75,220.41500000000002,0.75,18.755,12.0,229.56
16,16,2023-10-16,2023,10,42,1,1,52,59,12,5,10,0.541,0,0.597,0,0,3,13,12,12,0,4,19.13,12.75,238.9425,0.75,18.7275,11.0,203.5
17,17,2023-10-23,2023,10,43,1,1,52,58,11,2,5,0.501,0,0.657,0,0,4,13,11,11,0,6,18.5,12.25,230.9875,0.75,18.8425,11.0,196.68
18,18,2023-10-30,2023,10,44,1,1,50,55,12,1,9,0.443,0,0.56,0,0,6,6,11,11,0,1,17.88,12.0,225.10250000000002,0.0,18.737499999999997,13.0,246.74
19,19,2023-11-06,2023,11,45,1,1,59,62,11,2,2,0.632,1,0.829,0,1,1,25,13,13,0,13,18.98,12.25,228.04749999999999,0.0,18.585,12.0,223.92
20,20,2023-11-13,2023,11,46,1,1,60,63,10,4,5,0.561,1,0.757,0,1,13,7,12,12,0,8,18.66,11.75,219.12,0.0,18.622500000000002,13.0,252.85
21,21,2023-11-20,2023,11,47,1,1,58,63,14,2,5,0.542,0,0.521,0,1,8,10,13,13,0,5,19.45,11.75,217.71,0.0,18.505,13.0,246.48
22,22,2023-11-27,2023,11,48,1,1,60,76,10,1,10,0.614,1,0.894,0,1,5,12,13,13,0,4,18.96,12.25,230.04749999999999,0.0,18.7425,13.0,245.18
23,23,2023-12-04,2023,12,49,1,1,49,58,8,1,7,0.47,1,0.898,0,1,4,22,13,13,0,13,18.86,12.75,242.4975,0.0,19.012500000000003,14.0,265.86
24,24,2023-12-11,2023,12,50,1,1,59,63,11,1,10,0.641,1,1.076,0,1,13,14,14,14,0,13,18.99,12.75,242.1075,0.0,18.9825,14.0,269.78
25,25,2023-12-18,2023,12,51,1,1,56,72,15,3,7,0.571,0,0.833,0,1,13,8,14,14,0,7,19.27,13.25,252.5925,0.0,19.065,13.0,253.89
26,26,2023-12-25,2023,12,52,1,1,61,73,10,4,5,0.619,0,0.708,0,1,7,0,13,7,6,0,19.53,13.5,256.825,0.0,19.02,11.0,214.06
27,27,2024-01-01,2024,1,1,1,1,56,59,12,5,4,0.543,1,0.793,0,0,0,17,11,11,0,6,19.46,13.5,258.6775,1.5,19.1625,13.0,240.5
28,28,2024-01-08,2024,1,2,1,1,58,61,7,1,8,0.554,1,0.845,0,0,6,14,13,13,0,7,18.5,13.0,250.89749999999998,1.5,19.3125,12.0,224.4
29,29,2024-01-15,2024,1,3,1,1,57,66,12,0,5,0.602,1,0.76,0,0,7,12,12,12,0,7,18.7,12.75,244.5575,1.5,19.19,13.0,260.78
30,30,2024-01-22,2024,1,4,1,1,63,72,16,3,6,0.574,0,0.688,0,0,7,0,13,7,6,0,20.06,12.25,233.2125,1.5,19.0475,15.0,285.3
31,31,2024-01-29,2024,1,5,1,1,64,77,13,1,10,0.613,0,0.623,0,0,0,27,15,15,0,12,19.02,12.25,234.935,1.5,19.18,8.0,156.56
32,32,2024-02-05,2024,2,6,1,1,48,55,11,3,3,0.518,0,0.866,0,0,12,0,8,8,0,4,19.57,13.25,252.745,1.5,19.07,15.0,281.7
33,33,2024-02-12,2024,2,7,1,1,69,82,16,4,8,0.693,0,0.86,0,0,4,0,15,4,11,0,18.78,12.0,231.76000000000002,1.5,19.3375,13.0,248.17
34,34,2024-02-19,2024,2,8,1,1,60,72,17,7,7,0.586,0,0.565,0,0,0,0,13,0,13,0,19.09,12.75,246.08499999999998,4.25,19.357499999999998,12.0,221.88
35,35,2024-02-26,2024,2,9,1,1,57,69,10,3,3,0.534,0,0.44,0,0,0,0,12,0,12,0,18.49,12.75,242.9325,6.0,19.115000000000002,11.0,211.53
36,36,2024-03-04,2024,3,10,1,1,52,63,9,4,5,0.527,0,0.824,0,0,0,17,11,11,0,6,19.23,12.0,227.07750000000001,9.0,18.9825,11.0,211.53
37,37,2024-03-11,2024,3,11,1,1,58,62,15,0,8,0.567,0,0.76,0,0,6,14,11,11,0,9,19.23,12.75,240.82,9.0,18.8975,14.0,264.6
38,38,2024-03-18,2024,3,12,1,1,59,74,17,3,8,0.6,0,0.63,0,0,9,0,14,9,5,0,18.9,11.75,223.27749999999997,6.25,19.009999999999998,15.0,286.05
39,39,2024-03-25,2024,3,13,1,1,66,84,18,4,8,0.735,0,0.68,0,0,0,21,15,15,0,6,19.07,12.0,227.385,4.25,18.9625,11.0,210.21
40,40,2024-04-01,2024,4,14,1,1,61,76,18,4,7,0.568,0,0.573,0,0,6,0,11,6,5,0,19.11,12.75,243.4275,1.25,19.1075,15.0,286.2
41,41,2024-04-08,2024,4,15,1,1,59,68,13,5,3,0.533,1,0.823,0,0,0,24,15,15,0,9,19.08,12.75,243.0975,2.5,19.0775,14.0,271.18
42,42,2024-04-15,2024,4,16,1,1,63,74,15,1,10,0.67,0,0.502,0,0,9,13,14,14,0,8,19.37,13.75,261.765,2.5,19.04,15.0,281.1
43,43,2024-04-22,2024,4,17,1,1,60,67,12,9,9,0.523,0,0.85,0,0,8,0,15,8,7,0,18.74,13.75,263.41,1.25,19.1575,14.0,278.46
44,44,2024-04-29,2024,4,18,1,1,61,70,9,4,7,0.606,1,0.747,0,0,0,24,14,14,0,10,19.89,13.75,262.1725,3.0,19.075,13.0,252.59
45,45,2024-05-06,2024,5,19,1,1,68,80,13,3,3,0.73,0,0.433,1,0,10,0,13,10,3,0,19.43,14.5,279.235,1.75,19.27,15.0,293.1
46,46,2024-05-13,2024,5,20,1,1,69,89,12,7,8,0.657,0,0.782,1,0,0,0,15,0,15,0,19.54,14.0,270.8325,2.5,19.357499999999998,13.0,236.34
47,47,2024-05-20,2024,5,21,1,1,67,83,11,0,5,0.65,1,0.784,1,0,0,19,13,13,0,6,18.18,14.25,276.3125,6.25,19.4,13.0,253.63
48,48,2024-05-27,2024,5,22,1,1,62,68,13,7,6,0.632,1,0.85,1,0,6,16,13,13,0,9,19.51,13.75,265.1225,4.5,19.26,15.0,289.5
49,49,2024-06-03,2024,6,23,1,1,64,69,11,9,6,0.669,0,0.609,1,0,9,13,15,15,0,7,19.3,13.5,258.915,4.5,19.165,14.0,263.62
50,50,2024-06-10,2024,6,24,1,1,67,74,9,1,8,0.605,1,0.784,1,0,7,0,14,7,7,0,18.83,14.0,268.14250000000004,3.75,19.1325,17.0,323.34
51,51,2024-06-17,2024,6,25,1,1,69,83,13,2,6,0.723,0,0.637,1,0,0,0,17,0,17,0,19.02,13.75,260.77250000000004,1.75,18.955000000000002,14.0,267.68
52,52,2024-06-24,2024,6,26,1,1,69,84,18,4,8,0.678,0,0.651,1,0,0,0,14,0,14,0,19.12,14.75,282.5225,6.0,19.165,13.0,251.42
53,53,2024-07-01,2024,7,27,1,1,65,76,16,3,4,0.696,0,0.412,1,0,0,20,13,13,0,7,19.34,15.0,286.03499999999997,9.5,19.0675,14.0,274.4
54,54,2024-07-08,2024,7,28,1,1,67,76,13,4,7,0.646,1,0.759,1,0,7,17,14,14,0,10,19.6,14.5,276.515,9.5,19.0775,13.0,245.57
55,55,2024-07-15,2024,7,29,1,1,68,84,19,6,7,0.674,1,0.681,1,0,10,12,13,13,0,9,18.89,14.5,279.21,7.75,19.270000000000003,16.0,306.4
56,56,2024-07-22,2024,7,30,1,1,70,89,12,4,7,0.637,0,0.772,1,0,9,17,16,16,0,10,19.15,13.5,259.7675,3.5,19.2375,17.0,315.69
57,57,2024-07-29,2024,7,31,1,1,71,84,19,6,2,0.717,1,0.781,1,0,10,18,17,17,0,11,18.57,14.0,269.4475,0.0,19.244999999999997,15.0,283.65
58,58,2024-08-05,2024,8,32,1,1,76,81,14,0,4,0.768,0,0.471,1,0,11,6,15,15,0,2,18.91,15.0,285.515,0.0,19.052500000000002,16.0,314.4
59,59,2024-08-12,2024,8,33,1,1,68,75,15,2,7,0.687,0,0.687,1,0,2,25,16,16,0,11,19.65,15.25,287.8275,0.0,18.88,15.0,303.0
60,60,2024-08-19,2024,8,34,1,1,66,79,13,5,2,0.664,0,0.497,1,0,11,11,15,15,0,7,20.2,16.0,305.03499999999997,0.0,19.07,15.0,280.05
61,61,2024-08-26,2024,8,35,1,1,65,81,19,3,7,0.64,0,0.676,1,0,7,13,15,15,0,5,18.67,15.75,304.18499999999995,0.0,19.3325,15.0,291.15
62,62,2024-09-02,2024,9,36,1,1,65,77,10,7,8,0.664,0,0.543,1,0,5,0,15,5,10,0,19.41,15.25,295.275,0.0,19.3575,16.0,315.52
63,63,2024-09-09,2024,9,37,1,1,69,81,13,3,8,0.686,0,0.732,1,0,0,25,16,16,0,9,19.72,15.25,297.15,2.5,19.4825,13.0,253.63
64,64,2024-09-16,2024,9,38,1,1,68,80,15,2,3,0.658,1,0.739,1,0,9,13,13,13,0,9,19.51,15.25,297.43,2.5,19.5,14.0,277.2
65,65,2024-09-23,2024,9,39,1,1,74,91,16,2,5,0.725,0,0.694,1,0,9,0,14,9,5,0,19.8,14.75,285.0875,2.5,19.3275,19.0,355.3
66,66,2024-09-30,2024,9,40,1,1,73,91,13,1,8,0.841,0,0.606,1,0,0,26,19,19,0,7,18.7,14.5,284.375,3.75,19.61,15.0,286.8
67,67,2024-10-07,2024,10,41,1,1,73,81,13,4,7,0.761,0,0.604,0,0,7,21,15,15,0,13,19.12,15.5,300.41249999999997,1.25,19.4325,17.0,326.4
68,68,2024-10-14,2024,10,42,1,1,74,84,16,3,4,0.684,0,0.891,0,0,13,0,17,13,4,0,19.2,15.25,293.23249999999996,1.25,19.282500000000002,20.0,396.0
