codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen
SINT0508,Azucar,12.0,5.0,2.4,14.4,0.1429,0,0,4,2,0,sintetico
0488PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0206AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0051ME,Menestras,12.0,8.0,6.0,14.0,0.3,0,1,1,3,0,real
SINT0922,Snacks,18.0,6.0,4.68,19.32,0.195,0,0,2,6,0,sintetico
0487PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0214,Aves,4.0,0.0,0.18,3.57,0.0481,0,0,6,2,1,sintetico
SINT0940,Infusion,11.0,9.0,4.07,15.93,0.2035,0,0,3,3,0,sintetico
SINT0980,Limpieza,20.0,7.0,1.7,25.3,0.063,0,0,4,3,0,sintetico
0524CE,Cerdo,7.0,5.0,0.0,12.0,0.0,0,1,0,2,0,real
SINT0437,Aceite,2.0,10.0,5.83,6.17,0.4858,0,1,5,4,0,sintetico
SINT0495,Limpieza,9.0,8.0,4.72,12.28,0.2776,0,1,2,3,0,sintetico
0442FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0499AV,Aves,1.0,3.8,0.0,4.8,0.0,0,0,0,1,1,real
0469SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0215IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0072ME,Menestras,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real
0335GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0573LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0443FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0684COR,Cordero,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0119,Vacuno,0.0,7.0,12.22,-5.22,1.7457,0,1,4,4,1,sintetico
0595LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0260,Harina,0.0,5.0,8.49,-3.49,1.698,0,0,3,0,1,sintetico
SINT0043,"Mermelada, mantequilla",0.0,0.0,0.02,-0.02,0.0,0,0,6,1,1,sintetico
SINT0301,Vacuno,0.0,7.0,11.68,-4.68,1.6686,0,0,3,3,1,sintetico
SINT0667,Fideos,13.0,7.0,4.88,15.12,0.244,0,0,2,5,0,sintetico
0458SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0160,"Condimentos, Salsas, cremas",0.0,3.0,5.68,-2.68,1.8933,0,0,5,2,1,sintetico
SINT0377,Limpieza,0.0,0.0,0.57,-0.57,0.0,0,1,7,1,1,sintetico
SINT0174,Harina,8.0,7.0,17.01,-2.01,1.134,1,0,3,1,1,sintetico
SINT0039,Cereal,2.0,0.0,0.53,1.47,0.265,0,0,4,2,1,sintetico
0247HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0063,"Condimentos, Salsas, cremas",5.0,0.0,1.22,3.46,0.2606,0,0,4,4,1,sintetico
SINT0691,"Condimentos, Salsas, cremas",40.0,3.0,3.23,39.77,0.0751,0,0,5,2,0,sintetico
03014CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0337,Aves,0.0,7.0,18.03,-11.03,2.5757,0,0,5,0,1,sintetico
SINT0568,Aceite,48.0,6.0,4.0,50.0,0.0741,0,0,5,3,0,sintetico
SINT0929,Huevos,19.0,4.0,3.72,19.28,0.1617,0,0,1,2,0,sintetico
0242HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0558,Limpieza,17.0,0.0,0.27,16.73,0.0159,0,0,3,3,0,sintetico
