codigo_articulo,categoria,semana_del_año,ocupacion_albergue,stock_inicio_semana,ingresos_semana,salidas_semana,stock_fin_semana,rolling_avg_salidas_3sem,alerta_7_dias,alerta_14_dias,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
0002ME,Menestras,1,54,0.21,0.0,0.05,0.16,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,2,58,0.16,0.18,0.05,0.29,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,3,60,0.29,0.0,0.05,0.24,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,4,60,0.24,0.0,0.06,0.18,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,5,51,0.18,0.2,0.05,0.33,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,6,55,0.33,0.0,0.05,0.28,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,7,54,0.28,0.0,0.05,0.23,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,8,42,0.23,0.0,0.04,0.19,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,9,46,0.19,0.11,0.05,0.25,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,10,60,0.25,0.0,0.08,0.17,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,11,54,0.17,0.0,0.07,0.1,0.0667,0,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,12,42,0.1,0.0,0.05,0.05,0.0667,1,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,13,43,0.05,0.24,0.06,0.23,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,14,43,0.23,0.28,0.05,0.46,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,15,51,0.46,0.0,0.05,0.41,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,16,55,0.41,0.0,0.06,0.35,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,17,53,0.35,0.1,0.06,0.39,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,18,57,0.39,0.0,0.07,0.32,0.0633,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,19,52,0.32,0.25,0.05,0.52,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,20,50,0.52,0.23,0.05,0.7,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,21,42,0.7,0.0,0.04,0.66,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,22,48,0.66,0.0,0.05,0.61,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,23,48,0.61,0.0,0.05,0.56,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,24,44,0.56,0.0,0.04,0.52,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,25,47,0.52,0.0,0.06,0.46,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,26,54,0.46,0.0,0.06,0.4,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,27,40,0.4,0.0,0.04,0.36,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,28,48,0.36,0.0,0.06,0.3,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,29,49,0.3,0.0,0.05,0.25,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,30,56,0.25,0.0,0.06,0.19,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,31,43,0.19,0.0,0.05,0.14,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,32,50,0.14,0.27,0.07,0.34,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,33,46,0.34,0.0,0.05,0.29,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,34,45,0.29,0.0,0.06,0.23,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,35,51,0.23,0.27,0.07,0.43,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,36,46,0.43,0.0,0.04,0.39,0.0567,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,37,40,0.39,0.0,0.05,0.34,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,38,48,0.34,0.0,0.05,0.29,0.0467,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,39,45,0.29,0.0,0.05,0.24,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,40,58,0.24,0.0,0.06,0.18,0.0533,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,41,54,0.18,0.14,0.07,0.25,0.06,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,42,56,0.25,0.0,0.06,0.19,0.0633,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,43,51,0.19,0.0,0.06,0.13,0.0633,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,44,56,0.13,0.0,0.05,0.08,0.0567,0,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,45,56,0.08,0.0,0.06,0.02,0.0567,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,46,40,0.02,0.0,0.04,-0.02,0.05,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,47,41,-0.02,0.0,0.05,-0.07,0.05,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,48,43,-0.07,0.17,0.05,0.05,0.0467,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,49,56,0.05,0.0,0.06,-0.01,0.0533,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,50,45,-0.01,0.0,0.05,-0.06,0.0533,1,1,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,51,55,-0.06,0.0,0.05,-0.11,0.0533,1,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0002ME,Menestras,52,55,-0.11,0.21,0.05,0.05,0.05,0,0,Arverja partida 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,1,58,0.34,0.0,0.05,0.29,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,2,46,0.29,0.23,0.04,0.48,0.045,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
